seq	moe_id	unicode_hex	unicode_int	char
00166	A00166	U+4FDA	20442	俚
00167	A00167	U+4FCE	20430	俎
00168	A00168	U+4FDE	20446	俞
00169	A00169	U+500C	20492	倌
00170	A00170	U+500D	20493	倍
00171	A00171	U+5023	20515	倣
00172	A00172	U+4FEF	20463	俯
00173	A00173	U+5026	20518	倦
00174	A00174	U+5025	20517	倥
00175	A00175	U+4FF8	20472	俸
00176	A00176	U+5029	20521	倩
00177	A00177	U+5016	20502	倖
00178	A00178	U+5006	20486	倆
00179	A00179	U+503C	20540	值
00180	A00180	U+501F	20511	借
00181	A00181	U+501A	20506	倚
00182	A00182	U+5012	20498	倒
00183	A00183	U+5011	20497	們
00184	A00184	U+4FFA	20474	俺
00185	A00185	U+5000	20480	倀
00186	A00186	U+5014	20500	倔
00187	A00187	U+5028	20520	倨
00188	A00188	U+4FF1	20465	俱
00189	A00189	U+5021	20513	倡
00190	A00190	U+500B	20491	個
00191	A00191	U+5019	20505	候
00192	A00192	U+5018	20504	倘
00193	A00193	U+4FF3	20467	俳
00194	A00194	U+4FEE	20462	修
00195	A00195	U+502D	20525	倭
00196	A00196	U+502A	20522	倪
00197	A00197	U+4FFE	20478	俾
00198	A00198	U+502B	20523	倫
00199	A00199	U+5009	20489	倉
00200	A00200	U+507A	20602	偺
00201	A00201	U+507D	20605	偽
00202	A00202	U+505C	20572	停
00203	A00203	U+5047	20551	假
00204	A00204	U+5043	20547	偃
00205	A00205	U+504C	20556	偌
00206	A00206	U+505A	20570	做
00207	A00207	U+5049	20553	偉
00208	A00208	U+5065	20581	健
00209	A00209	U+5076	20598	偶
00210	A00210	U+504E	20558	偎
00211	A00211	U+5055	20565	偕
00212	A00212	U+5075	20597	偵
00213	A00213	U+5074	20596	側
00214	A00214	U+5077	20599	偷
00215	A00215	U+504F	20559	偏
00216	A00216	U+500F	20495	倏
00217	A00217	U+50A2	20642	傢
00218	A00218	U+508D	20621	傍
00219	A00219	U+5085	20613	傅
00220	A00220	U+5099	20633	備
00221	A00221	U+5091	20625	傑
00222	A00222	U+5080	20608	傀
00223	A00223	U+5096	20630	傖
00224	A00224	U+5098	20632	傘
00225	A00225	U+50AD	20653	傭
00226	A00226	U+50B5	20661	債
00227	A00227	U+50B2	20658	傲
00228	A00228	U+50B3	20659	傳
00229	A00229	U+50C5	20677	僅
00230	A00230	U+50BE	20670	傾
00231	A00231	U+50AC	20652	催
00232	A00232	U+50B7	20663	傷
00233	A00233	U+50BB	20667	傻
00234	A00234	U+50AF	20655	傯
00235	A00235	U+50E7	20711	僧
00236	A00236	U+50EE	20718	僮
00237	A00237	U+50E5	20709	僥
00238	A00238	U+50D6	20694	僖
00239	A00239	U+50ED	20717	僭
00240	A00240	U+50DA	20698	僚
00241	A00241	U+50D5	20693	僕
00242	A00242	U+50CF	20687	像
00243	A00243	U+50D1	20689	僑
00244	A00244	U+50F1	20721	僱
00245	A00245	U+5104	20740	億
00246	A00246	U+5100	20736	儀
00247	A00247	U+50FB	20731	僻
00248	A00248	U+50F5	20725	僵
00249	A00249	U+50F9	20729	價
00250	A00250	U+5102	20738	儂
00251	A00251	U+5108	20744	儈
00252	A00252	U+5109	20745	儉
00253	A00253	U+5112	20754	儒
00254	A00254	U+5118	20760	儘
00255	A00255	U+5114	20756	儔
00256	A00256	U+5110	20752	儐
00257	A00257	U+512A	20778	優
00258	A00258	U+511F	20767	償
00259	A00259	U+5121	20769	儡
00260	A00260	U+5132	20786	儲
00261	A00261	U+5137	20791	儷
00262	A00262	U+513C	20796	儼
00263	A00263	U+5140	20800	兀
00264	A00264	U+5143	20803	元
00265	A00265	U+5141	20801	允
00266	A00266	U+5145	20805	充
00267	A00267	U+5144	20804	兄
00268	A00268	U+5149	20809	光
00269	A00269	U+5147	20807	兇
00270	A00270	U+5146	20806	兆
00271	A00271	U+5148	20808	先
00272	A00272	U+514C	20812	兌
00273	A00273	U+514B	20811	克
00274	A00274	U+5155	20821	兕
00275	A00275	U+514D	20813	免
00276	A00276	U+5154	20820	兔
00277	A00277	U+5152	20818	兒
00278	A00278	U+5157	20823	兗
00279	A00279	U+515C	20828	兜
00280	A00280	U+5162	20834	兢
00281	A00281	U+5165	20837	入
00282	A00282	U+5167	20839	內
00283	A00283	U+5168	20840	全
00284	A00284	U+5169	20841	兩
00285	A00285	U+516B	20843	八
00286	A00286	U+516D	20845	六
00287	A00287	U+516E	20846	兮
00288	A00288	U+516C	20844	公
00289	A00289	U+5171	20849	共
00290	A00290	U+5175	20853	兵
00291	A00291	U+5177	20855	具
00292	A00292	U+5176	20854	其
00293	A00293	U+5178	20856	典
00294	A00294	U+517C	20860	兼
00295	A00295	U+5180	20864	冀
00296	A00296	U+5189	20873	冉
00297	A00297	U+518A	20874	冊
00298	A00298	U+518D	20877	再
00299	A00299	U+5192	20882	冒
00300	A00300	U+5191	20881	冑
00301	A00301	U+5195	20885	冕
00302	A00302	U+6700	26368	最
00303	A00303	U+5197	20887	冗
00304	A00304	U+51A0	20896	冠
00305	A00305	U+51A4	20900	冤
00306	A00306	U+51A5	20901	冥
00307	A00307	U+51A2	20898	冢
00308	A00308	U+51AC	20908	冬
00309	A00309	U+51B0	20912	冰
00310	A00310	U+51B6	20918	冶
00311	A00311	U+51B7	20919	冷
00312	A00312	U+51BD	20925	冽
00313	A00313	U+51CD	20941	凍
00314	A00314	U+51CC	20940	凌
00315	A00315	U+51C6	20934	准
00316	A00316	U+51CB	20939	凋
00317	A00317	U+51DC	20956	凜
00318	A00318	U+51DD	20957	凝
00319	A00319	U+51E0	20960	几
00320	A00320	U+51F0	20976	凰
00321	A00321	U+51F1	20977	凱
00322	A00322	U+51F3	20979	凳
00323	A00323	U+51F6	20982	凶
00324	A00324	U+51F9	20985	凹
00325	A00325	U+51FA	20986	出
00326	A00326	U+51F8	20984	凸
00327	A00327	U+51FD	20989	函
00328	A00328	U+5200	20992	刀
00329	A00329	U+5201	20993	刁
00330	A00330	U+5203	20995	刃
00331	A00331	U+5206	20998	分
00332	A00332	U+5207	20999	切
00333	A00333	U+5208	21000	刈
00334	A00334	U+520A	21002	刊
00335	A00335	U+5217	21015	列
00336	A00336	U+5211	21009	刑
00337	A00337	U+5212	21010	划
00338	A00338	U+520E	21006	刎
00339	A00339	U+5225	21029	別
00340	A00340	U+5224	21028	判
00341	A00341	U+5229	21033	利
00342	A00342	U+522A	21034	刪
00343	A00343	U+5228	21032	刨
00344	A00344	U+523B	21051	刻
00345	A00345	U+5238	21048	券
00346	A00346	U+5237	21047	刷
00347	A00347	U+523A	21050	刺
00348	A00348	U+5230	21040	到
00349	A00349	U+522E	21038	刮
00350	A00350	U+5236	21046	制
00351	A00351	U+5241	21057	剁
00352	A00352	U+524E	21070	剎
00353	A00353	U+5243	21059	剃
00354	A00354	U+524A	21066	削
00355	A00355	U+524D	21069	前
00356	A00356	U+524C	21068	剌
00357	A00357	U+524B	21067	剋
00358	A00358	U+5247	21063	則
00359	A00359	U+5256	21078	剖
00360	A00360	U+525C	21084	剜
00361	A00361	U+5254	21076	剔
00362	A00362	U+525B	21083	剛
00363	A00363	U+525D	21085	剝
00364	A00364	U+526A	21098	剪
00365	A00365	U+526F	21103	副
00366	A00366	U+5272	21106	割
00367	A00367	U+5274	21108	剴
00368	A00368	U+5275	21109	創
00369	A00369	U+5269	21097	剩
00370	A00370	U+527F	21119	剿
00371	A00371	U+5277	21111	剷
00372	A00372	U+527D	21117	剽
00373	A00373	U+5283	21123	劃
00374	A00374	U+5287	21127	劇
00375	A00375	U+5288	21128	劈
00376	A00376	U+5289	21129	劉
00377	A00377	U+528D	21133	劍
00378	A00378	U+5291	21137	劑
00379	A00379	U+529B	21147	力
00380	A00380	U+52A0	21152	加
00381	A00381	U+529F	21151	功
00382	A00382	U+52A3	21155	劣
00383	A00383	U+52AB	21163	劫
00384	A00384	U+52A9	21161	助
00385	A00385	U+52AA	21162	努
00386	A00386	U+52AC	21164	劬
00387	A00387	U+52BE	21182	劾
00388	A00388	U+52C7	21191	勇
00389	A00389	U+52C9	21193	勉
00390	A00390	U+52C3	21187	勃
00391	A00391	U+52C1	21185	勁
00392	A00392	U+52D2	21202	勒
00393	A00393	U+52D9	21209	務
00394	A00394	U+52D8	21208	勘
00395	A00395	U+52D5	21205	動
00396	A00396	U+52DE	21214	勞
00397	A00397	U+52DD	21213	勝
00398	A00398	U+52DB	21211	勛
00399	A00399	U+52DF	21215	募
00400	A00400	U+52E6	21222	勦
00401	A00401	U+52E4	21220	勤
00402	A00402	U+52E2	21218	勢
00403	A00403	U+52F5	21237	勵
00404	A00404	U+52F8	21240	勸
00405	A00405	U+52FB	21243	勻
00406	A00406	U+52FE	21246	勾
00407	A00407	U+52FF	21247	勿
00408	A00408	U+5305	21253	包
00409	A00409	U+5306	21254	匆
00410	A00410	U+5308	21256	匈
00411	A00411	U+530D	21261	匍
00412	A00412	U+5310	21264	匐
00413	A00413	U+530F	21263	匏
00414	A00414	U+5315	21269	匕
00415	A00415	U+5316	21270	化
00416	A00416	U+5317	21271	北
00417	A00417	U+5319	21273	匙
00418	A00418	U+531D	21277	匝
00419	A00419	U+5321	21281	匡
00420	A00420	U+5320	21280	匠
00421	A00421	U+5323	21283	匣
00422	A00422	U+532A	21290	匪
00423	A00423	U+532F	21295	匯
00424	A00424	U+5331	21297	匱
00425	A00425	U+5339	21305	匹
00426	A00426	U+533F	21311	匿
00427	A00427	U+5340	21312	區
00428	A00428	U+533E	21310	匾
00429	A00429	U+5341	21313	十
00430	A00430	U+5343	21315	千
00431	A00431	U+5348	21320	午
00432	A00432	U+5347	21319	升
00433	A00433	U+5345	21317	卅
00434	A00434	U+4EDF	20191	仟
00435	A00435	U+534A	21322	半
00436	A00436	U+5349	21321	卉
00437	A00437	U+5352	21330	卒
00438	A00438	U+5354	21332	協
00439	A00439	U+5353	21331	卓
00440	A00440	U+5351	21329	卑
00441	A00441	U+5357	21335	南
00442	A00442	U+535A	21338	博
00443	A00443	U+535C	21340	卜
00444	A00444	U+535E	21342	卞
00445	A00445	U+5361	21345	卡
00446	A00446	U+5360	21344	占
00447	A00447	U+5366	21350	卦
00448	A00448	U+536F	21359	卯
00449	A00449	U+536E	21358	卮
00450	A00450	U+5370	21360	印
00451	A00451	U+5371	21361	危
00452	A00452	U+5373	21363	即
00453	A00453	U+5375	21365	卵
00454	A00454	U+5377	21367	卷
00455	A00455	U+5378	21368	卸
00456	A00456	U+5379	21369	卹
00457	A00457	U+537B	21371	卻
00458	A00458	U+537F	21375	卿
00459	A00459	U+5384	21380	厄
00460	A00460	U+539A	21402	厚
00461	A00461	U+539F	21407	原
00462	A00462	U+539D	21405	厝
00463	A00463	U+53A5	21413	厥
00464	A00464	U+53AD	21421	厭
00465	A00465	U+53B2	21426	厲
00466	A00466	U+53BB	21435	去
00467	A00467	U+53C3	21443	參
00468	A00468	U+53C8	21448	又
00469	A00469	U+53C9	21449	叉
00470	A00470	U+53CB	21451	友
00471	A00471	U+53CA	21450	及
00472	A00472	U+53CD	21453	反
00473	A00473	U+53D6	21462	取
00474	A00474	U+53D4	21460	叔
00475	A00475	U+53D7	21463	受
00476	A00476	U+53DB	21467	叛
00477	A00477	U+53DF	21471	叟
00478	A00478	U+66FC	26364	曼
00479	A00479	U+53E2	21474	叢
00480	A00480	U+53E3	21475	口
00481	A00481	U+53EF	21487	可
00482	A00482	U+53E4	21476	古
00483	A00483	U+53F3	21491	右
00484	A00484	U+53EC	21484	召
00485	A00485	U+53EE	21486	叮
00486	A00486	U+53E9	21481	叩
00487	A00487	U+53E8	21480	叨
00488	A00488	U+53FC	21500	叼
00489	A00489	U+53F8	21496	司
00490	A00490	U+53F5	21493	叵
00491	A00491	U+53EB	21483	叫
00492	A00492	U+53E6	21478	另
00493	A00493	U+53EA	21482	只
00494	A00494	U+53F2	21490	史
00495	A00495	U+53F1	21489	叱
00496	A00496	U+53F0	21488	台
00497	A00497	U+53E5	21477	句
00498	A00498	U+53ED	21485	叭
00499	A00499	U+5409	21513	吉
00500	A00500	U+540F	21519	吏
00501	A00501	U+540C	21516	同
00502	A00502	U+540A	21514	吊
00503	A00503	U+5410	21520	吐
00504	A00504	U+5401	21505	吁
00505	A00505	U+540B	21515	吋
00506	A00506	U+5404	21508	各
00507	A00507	U+5411	21521	向
00508	A00508	U+540D	21517	名
00509	A00509	U+5408	21512	合
00510	A00510	U+5403	21507	吃
00511	A00511	U+540E	21518	后
00512	A00512	U+5406	21510	吆
00513	A00513	U+5412	21522	吒
00514	A00514	U+541D	21533	吝
00515	A00515	U+542D	21549	吭
00516	A00516	U+541E	21534	吞
00517	A00517	U+543E	21566	吾
00518	A00518	U+5426	21542	否
00519	A00519	U+544E	21582	呎
00520	A00520	U+5427	21543	吧
00521	A00521	U+5446	21574	呆
00522	A00522	U+5443	21571	呃
00523	A00523	U+5433	21555	吳
00524	A00524	U+5448	21576	呈
00525	A00525	U+5442	21570	呂
00526	A00526	U+541B	21531	君
00527	A00527	U+5429	21545	吩
00528	A00528	U+544A	21578	告
00529	A00529	U+5439	21561	吹
00530	A00530	U+543B	21563	吻
00531	A00531	U+5438	21560	吸
00532	A00532	U+542E	21550	吮
00533	A00533	U+5435	21557	吵
00534	A00534	U+5436	21558	吶
00535	A00535	U+5420	21536	吠
00536	A00536	U+543C	21564	吼
00537	A00537	U+5440	21568	呀
00538	A00538	U+5431	21553	吱
00539	A00539	U+542B	21547	含
00540	A00540	U+541F	21535	吟
00541	A00541	U+5473	21619	味
00542	A00542	U+5475	21621	呵
00543	A00543	U+5496	21654	咖
00544	A00544	U+5478	21624	呸
00545	A00545	U+5495	21653	咕
00546	A00546	U+5480	21632	咀
00547	A00547	U+547B	21627	呻
00548	A00548	U+5477	21623	呷
00549	A00549	U+5484	21636	咄
00550	A00550	U+5492	21650	咒
00551	A00551	U+5486	21638	咆
00552	A00552	U+547C	21628	呼
00553	A00553	U+5490	21648	咐
00554	A00554	U+5471	21617	呱
00555	A00555	U+5476	21622	呶
